source,unique_id,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,area_ha,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,establishment_year,Biome,n_reserves_biome,herbi_biomass_kgkm2,grazer_biomass_kgkm2,mixed_feeder_biomass_kgkm2,browser_biomass_kgkm2,elephant_biomass_kgkm2
HC,reserve_11,-0.0324234942050849,-0.0338256074235435,-0.0332338330720297,-0.0325652148661013,-0.0355697739276498,10000,899.9948,219.288973684211,169.0013,35.3581913455201,9.15449922053976,3.32578635937928,19,19,0,3.18593259,3.8384899,5.86726548,1.20482458167767,0.654221274473505,0.543001267091122,12.89168797,0.218623481781377,2.27157513468277,13,,1985,Nama-Karoo,33,1289.168797,383.84899,586.726548,318.593259,0
SANParks,reserve_12,-0.0237086048703393,-0.024323784658383,-0.0239104025809006,-0.0226636450274343,-0.0213567072407503,3413.73592260439,240,108.55024,102,63.723632286674,27.3444877874355,16.156420386261,5,5,0,0.0228486332183812,5.97326564277511,7.58047777763005,261.427700540518,0.787980100726921,0.00301414157374189,13.5765920536235,0,2.31518355583322,5,,1931,Fynbos,39,1357.65920536235,597.326564277511,758.047777763005,2.28486332183812,0
HC,reserve_13,-0.0290908639875385,-0.0297057179296862,-0.0287387405312929,-0.0275666424461565,-0.027552818607664,13700,569.9936,199.860777777778,171.0015,80.3667544854331,32.4290582552735,16.4040771187146,9,7,0,2.08212481751825,0.692339598540146,1.77956167883212,0.332515895644224,0.389050633521459,1.17002115874101,4.55402609489051,0.119047619047619,2.06469485098632,6,0.00501821897810219,1996,Fynbos,39,455.402609489051,69.2339598540146,177.956167883212,208.212481751825,0
HC,reserve_14,-0.0303169948005311,-0.0317382906052031,-0.0310212568608437,-0.0298680219109393,-0.0305004163512081,3500,4400,590.451415789474,179.999,343.179265873555,54.3482831144508,6.39114694088287,19,16,5.02857142857143,6.42856457142857,37.4856086571429,35.7831248571429,5.83110089984096,1.04757784030313,0.179653526546196,79.6972980857143,0.198863636363636,3.59768213032844,11,0.111927942857143,1996,Fynbos,39,7969.72980857143,3748.56086571429,3578.31248571429,642.856457142857,502.857142857143
HC,reserve_15,-0.033662397811319,-0.0342779023372858,-0.0336900448565355,-0.0327323061185829,-0.0339271974803279,3000,4400,623.516035,189.9995,625.713527406004,54.8099024552818,8.13364219239126,20,20,4.4,10.0824800666667,8.2326582,12.6255385,0.81653106632144,0.652063925827797,0.798578220379801,30.9406767666667,0.1625,3.85763701149443,16,,2004,Albany Thicket,87,3094.06767666667,823.26582,1262.55385,1008.24800666667,440
HC,reserve_16,-0.0148910066280187,-0.0156416575467704,-0.0151320105745107,-0.0147098560480659,-0.0143458397204028,1600,2949.9863,376.554582352941,171.0015,306.715794704274,34.7775842046716,7.24290804867824,17,14,0,22.259095875,31.07421875,79.0745649375,1.39602340205114,0.39297362906215,0.281495015402152,132.4078795625,0.175324675324675,2.26666977092356,11,0.80271475,2001,Fynbos,39,13240.78795625,3107.421875,7907.45649375,2225.9095875,0
HC,reserve_17,-0.0168189357828698,-0.0171566529228356,-0.0168174010839958,-0.0159068653142546,-0.0151687051128565,7000,569.9936,209.070771428571,171.0015,260.992698033596,44.7230848673982,8.60398721999735,7,7,0,2.322,3.518581,14.0767703428571,1.51532342807924,0.249956553548904,0.164952609401505,19.9173513428571,0.119047619047619,2.16509547965603,6,,1991,Fynbos,39,1991.73513428571,351.8581,1407.67703428571,232.2,0
SWEP,reserve_18,-0.0571241580600918,-0.0577538748124699,-0.0583013641542922,-0.0615438288078699,-0.0641522508976902,1524.16455690424,569.9936,127.699625925926,82.5,57.3951670831217,4.76073983277876,0.366134356668486,27,24,0,0.388738241757466,1.44201378390804,53.0391335593032,3.70947241359319,0.0271877326633875,0.00732927209911558,54.8698855849687,0.223039215686275,1.71481220493761,17,0.131777109689488,2016,Albany Thicket,87,5486.98855849687,144.201378390804,5303.91335593032,38.8738241757466,0
SWEP,reserve_19,-0.0563616615197531,-0.0576770867496405,-0.0577399200018136,-0.0574921844717502,-0.0554854625870682,9201.396656493,899.9948,166.012245833333,92.0502,102.168930384431,15.0697118713979,1.52792994219645,23,21,0,28.0921226907002,5.02369066628392,29.0912735525982,0.178829158678956,0.172687203164237,0.965654619413913,62.2070869095823,0.214285714285714,2.76965158557216,14,0.0344077874065553,2014,Albany Thicket,87,6220.70869095823,502.369066628392,2909.12735525982,2809.21226907002,0
SWEP,reserve_20,-0.0575915555446215,-0.0589130852082514,-0.0589836212108853,-0.0581731294648527,-0.0569252543671669,1011.42151960026,1417.49,228.18328,102,167.991856729134,16.0322477432017,2.35956348612194,25,25,0,18.1168207764079,28.8050094203201,91.6700066226039,1.58995939606748,0.31422501733754,0.197630843979241,138.591836819332,0.189473684210526,2.85388990792389,19,,2013,Albany Thicket,87,13859.1836819332,2880.50094203201,9167.00066226039,1811.68207764079,0
SWEP,reserve_21,-0.0522427997100362,-0.0526792959079834,-0.0521357296699335,-0.0551804533998564,-0.0594471003022876,6966.48961206108,899.9948,178.559653333333,106.3745,223.078752817605,13.8005470053378,0.650764653686415,30,28,0,10.0154707873536,13.7189021332258,28.5302433030108,1.36977106962845,0.480854719236762,0.351047507060574,52.2646162235902,0.253759398496241,2.40701682150486,19,0.0125170645268789,2011,Albany Thicket,87,5226.46162235902,1371.89021332258,2853.02433030108,1001.54707873536,0
SWEP,reserve_22,-0.0642314876549025,-0.0637537896538678,-0.0626901120442466,-0.0614863423703762,-0.0599673161301049,853.389999406755,1417.49,274.947381818182,99.75,99.1656743260392,15.1969706191273,2.49957520178551,22,21,0,147.542466970001,47.452376437679,92.1442576719484,0.32161842900002,0.514979203659318,1.60121173796072,287.139101079628,0.145658263305322,3.58627451197277,17,0.322242468497602,1994,Albany Thicket,87,28713.9101079628,4745.2376437679,9214.42576719484,14754.2466970001,0
SANParks,reserve_23,-0.0529326423609751,-0.0528229719540892,-0.0522107772009016,-0.0544680454922533,-0.0585449896075521,18686.229412485,580.0027,138.234157894737,81.5755,120.694833022577,15.7022648027272,0.706521785450087,19,18,0,7.50016470451553,7.46902309819386,8.94401197591709,0.995847877006898,0.835086437529956,0.838568276150646,23.9131997786265,0.158730158730159,2.83430887853725,14,0.000294332787990136,2005,Albany Thicket,87,2391.31997786265,746.902309819386,894.401197591709,750.016470451553,0
HC,reserve_24,-0.0326220254647748,-0.0336680775148912,-0.0330887003873912,-0.0317760520134024,-0.0335759550840701,3300,899.9948,167.651772727273,106.3745,173.809540891854,14.179369979279,1.40255975369789,22,20,0,8.07425418181818,4.334767,24.409451,0.536862836168961,0.177585599938319,0.330783932085084,36.8184721818182,0.269230769230769,2.80937907388323,13,0.0208332121212121,2004,Succulent Karoo,6,3681.84721818182,433.4767,2440.9451,807.425418181818,0
HC,reserve_25,-0.0304654117310154,-0.0303038229197628,-0.0292984982891842,-0.0281665223516976,-0.0283141176109301,1250,213.501,61.10008,13.7499,192.534415938616,64.5639984476223,0.713819763270071,5,3,0,0.18120072,0,0.00819992,,,22.0978643694085,0.18940064,0,1.26912127657122,3,0.05499968,1999,Fynbos,39,18.940064,0,0.819992,18.120072,0
HC,reserve_26,-0.0156756873479536,-0.0160259318901184,-0.0153952677952507,-0.0146877231247138,-0.0140123026723012,2500,899.9948,215.803618181818,102,318.409341210134,43.7438880192291,4.73702046144043,11,9,0,5.12020984,2.7359848,18.67321016,0.53435013124384,0.146519252798899,0.274200836178025,26.5294048,0.0972222222222222,2.04752907003794,8,0.02749984,1995,Fynbos,39,2652.94048,273.59848,1867.321016,512.020984,0
