hfi,reserve_name
4.16949152542373,reserve_344
6.85714285714286,reserve_345
12,reserve_346
8.78571428571429,reserve_347
9.19106317411402,reserve_348
9.18181818181818,reserve_349
7.69166666666667,reserve_350
8.35714285714286,reserve_351
6,reserve_352
6.83333333333333,reserve_353
8.18181818181818,reserve_354
7.20454545454545,reserve_355
6.53846153846154,reserve_356
8.56807511737089,reserve_357
7,reserve_358
9.55555555555556,reserve_359
10.8571428571429,reserve_360
9,reserve_361
8.12121212121212,reserve_362
10.1764705882353,reserve_363
12.875,reserve_364
15.5909090909091,reserve_365
5.36842105263158,reserve_366
5.96428571428571,reserve_367
6.63636363636364,reserve_368
6.66666666666667,reserve_369
7.04545454545455,reserve_370
10.5238095238095,reserve_371
7.28571428571429,reserve_372
4.61702127659575,reserve_373
8,reserve_374
5.11764705882353,reserve_375
8.26732673267327,reserve_376
9,reserve_377
5.32008830022075,reserve_1
7.6551724137931,reserve_2
9.28571428571429,reserve_3
9.5,reserve_4
6.1969696969697,reserve_5
9.28571428571429,reserve_6
5.74324324324324,reserve_7
11,reserve_8
7.80434782608696,reserve_9
8,reserve_10
5.38461538461539,reserve_11
11,reserve_12
3.93939393939394,reserve_13
8.14814814814815,reserve_14
3.04347826086957,reserve_15
7.5,reserve_16
10.3333333333333,reserve_17
8.36363636363636,reserve_18
5.37037037037037,reserve_19
