Binomial.1.2,order,family,genus,iucn_status,common_name,guild_with_omnivore,guild_only_herbivory,fermentation_simple,trophic_level_herbivore,source_herbi,herbivore_fg_own,herbi_body_mass_bins,mass_kg,mass_kg_carni,maximum_prey_size,largest_accessible_prey_size,prey_range_bins,group_hunting,hunting_style,carnivore_fg_own,source_carni,trophic_level_carni,trophic_level,species,browser,grazer,mixed_feeder,omnivore,feeding_type,fermentation_type,mr_mass_kg,hempson_herbivore_group,trophic_level_hempson
Gazella_spekei,Cetartiodactyla,Bovidae,Gazella,EN,Speke's Gazelle,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,3,20,,,,,,,,,,small herbivore,Gazella spekei,0,0,1,0,Mixed Feeder,Foregut,15,Medium-sized social mixed diets,Medium-sized social mixed diets
Gazella_subgutturosa,Cetartiodactyla,Bovidae,Gazella,VU,Goitered Gazelle,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,4,28.5,,,,,,,,,,small herbivore,Gazella subgutturosa,0,0,1,0,Mixed Feeder,Foregut,21.375,,
Giraffa_camelopardalis,Cetartiodactyla,Giraffidae,Giraffa,VU,Giraffe,Browser,Browser,Foregut,large herbivore,HerbiTRAITS,s3BrowserForegut,9,899.9948,,,,,,,,,,large herbivore,Giraffa camelopardalis,1,0,0,0,Browser,Foregut,674.9961,Large browsers,Large browsers
Gorilla_beringei,Primates,Hominidae,Gorilla,CR,Eastern Gorilla,Browser,Browser,Hindgut,large herbivore,HerbiTRAITS,s3BrowserHindgut,8,130,,,,,,,,,,large herbivore,Gorilla beringei,1,0,0,0,Browser,Hindgut,97.5,,
Gorilla_gorilla,Primates,Hominidae,Gorilla,CR,Western Gorilla,Browser,Browser,Hindgut,large herbivore,HerbiTRAITS,s3BrowserHindgut,8,120.95,,,,,,,,,,large herbivore,Gorilla gorilla,1,0,0,0,Browser,Hindgut,90.7125,,
Gulo_gulo,Carnivora,Mustelidae,Gulo,LC,,,,,small herbivore,Phylacine,not_complete,3,17.0126,17.0126,263.810066121583,18.703287,1,solitary,Ambush,small prey predatorsolitaryAmbush,CarniTRAITS,small prey predator,small prey predator,Gulo gulo,,,,,Predator,Shortgut,12.75945,,small prey predator
Halichoerus_grypus,Carnivora,Phocidae,Halichoerus,LC,,,,,large herbivore,Phylacine,not_complete,8,157.667,,,,,,,,,,large herbivore,Halichoerus grypus,,,,,Predator,Shortgut,118.25025,,
Helarctos_malayanus,Carnivora,Ursidae,Helarctos,VU,,,,,medium herbivore,Phylacine,not_complete,5,46.5,,,,,,,,,,medium herbivore,Helarctos malayanus,,,,,Predator,Shortgut,34.875,,
Hemitragus_jemlahicus,Cetartiodactyla,Bovidae,Hemitragus,NT,Himalayan Tahr,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,5,35.2,,,,,,,,,,small herbivore,Hemitragus jemlahicus,0,0,1,0,Mixed Feeder,Foregut,26.4,,
Hippocamelus_antisensis,Cetartiodactyla,Cervidae,Hippocamelus,VU,Taruca,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,68.5994,,,,,,,,,,medium herbivore,Hippocamelus antisensis,0,0,1,0,Mixed Feeder,Foregut,51.44955,,
Hippocamelus_bisulcus,Cetartiodactyla,Cervidae,Hippocamelus,EN,Patagonian Huemul,Mixed Feeder,Mixed Feeder,Foregut,medium herbivore,HerbiTRAITS,s2Mixed FeederForegut,6,70.0003,,,,,,,,,,medium herbivore,Hippocamelus bisulcus,0,0,1,0,Mixed Feeder,Foregut,52.500225,,
Hippopotamus_amphibius,Cetartiodactyla,Hippopotamidae,Hippopotamus,VU,Common Hippopotamus,Grazer,Grazer,Foregut,megaherbivore,HerbiTRAITS,s4GrazerForegut,10,1417.49,,,,,,,,,,megaherbivore,Hippopotamus amphibius,0,1,0,0,Grazer,Foregut,1063.1175,Nonruminants,Nonruminants
Hippotragus_equinus,Cetartiodactyla,Bovidae,Hippotragus,LC,Roan Antelope,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,9,269.9977,,,,,,,,,,large herbivore,Hippotragus equinus,0,1,0,0,Grazer,Foregut,202.498275,Water-dependent grazers,Water-dependent grazers
Hippotragus_niger,Cetartiodactyla,Bovidae,Hippotragus,LC,Sable Antelope,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,8,227.4993,,,,,,,,,,large herbivore,Hippotragus niger,0,1,0,0,Grazer,Foregut,170.624475,Water-dependent grazers,Water-dependent grazers
Histriophoca_fasciata,Carnivora,Phocidae,Histriophoca,LC,,,,,medium herbivore,Phylacine,not_complete,7,90,,,,,,,,,,medium herbivore,Histriophoca fasciata,,,,,Predator,Shortgut,67.5,,
Homo_sapiens,Primates,Hominidae,Homo,LC,,,,,medium herbivore,Phylacine,not_complete,6,59.5,,,,,,,,,,medium herbivore,Homo sapiens,,,,,Predator,Shortgut,44.625,,
Hyaena_hyaena,Carnivora,Hyaenidae,Hyaena,NT,,,,,small herbivore,Phylacine,not_complete,5,41.7051,41.7051,716.394866769683,74.1379495,1,solitary,Pounce pursuit,medium prey predatorsolitaryPounce pursuit,CarniTRAITS,medium prey predator,medium prey predator,Hyaena hyaena,,,,,Predator,Shortgut,31.278825,,medium prey predator
Hydrochoerus_hydrochaeris,Rodentia,Caviidae,Hydrochoerus,LC,Capybara,Grazer,Grazer,Hindgut,medium herbivore,HerbiTRAITS,s2GrazerHindgut,5,50,,,,,,,,,,medium herbivore,Hydrochoerus hydrochaeris,0,1,0,0,Grazer,Hindgut,37.5,,
Hydrochoerus_isthmius,Rodentia,Caviidae,Hydrochoerus,DD,Lesser Capybara,Grazer,Grazer,Hindgut,small herbivore,HerbiTRAITS,s1GrazerHindgut,5,35,,,,,,,,,,small herbivore,Hydrochoerus isthmius,0,1,0,0,Grazer,Hindgut,26.25,,
Hydropotes_inermis,Cetartiodactyla,Cervidae,Hydropotes,VU,Water Deer,Mixed Feeder,Mixed Feeder,Foregut,small herbivore,HerbiTRAITS,s1Mixed FeederForegut,2,14,,,,,,,,,,small herbivore,Hydropotes inermis,0,0,1,0,Mixed Feeder,Foregut,10.5,,
Hydrurga_leptonyx,Carnivora,Phocidae,Hydrurga,LC,,,,,large herbivore,Phylacine,not_complete,9,360,,,,,,,,,,large herbivore,Hydrurga leptonyx,,,,,Predator,Shortgut,270,,
Hyemoschus_aquaticus,Cetartiodactyla,Tragulidae,Hyemoschus,LC,Water Chevrotain,Browser,Browser,Foregut,small herbivore,HerbiTRAITS,s1BrowserForegut,1,10.85,,,,,,,,,,small herbivore,Hyemoschus aquaticus,1,0,0,0,Browser,Foregut,8.1375,Small nonsocial browsers,Small nonsocial browsers
Hylochoerus_meinertzhageni,Cetartiodactyla,Suidae,Hylochoerus,LC,Forest Hog,Mixed Feeder,Mixed Feeder,Hindgut,large herbivore,HerbiTRAITS,s3Mixed FeederHindgut,8,188.5,,,,,,,,,,large herbivore,Hylochoerus meinertzhageni,0,0,1,0,Mixed Feeder,Hindgut,141.375,Nonruminants,Nonruminants
Hystrix_africaeaustralis,Rodentia,Hystricidae,Hystrix,LC,Cape Porcupine,Browser,Browser,Hindgut,small herbivore,HerbiTRAITS,s1BrowserHindgut,2,14.936,,,,,,,,,,small herbivore,Hystrix africaeaustralis,1,0,0,0,Browser,Hindgut,11.202,,
Hystrix_cristata,Rodentia,Hystricidae,Hystrix,LC,Crested Porcupine,Browser,Browser,Hindgut,small herbivore,HerbiTRAITS,s1BrowserHindgut,2,16.25,,,,,,,,,,small herbivore,Hystrix cristata,1,0,0,0,Browser,Hindgut,12.1875,,
Hystrix_indica,Rodentia,Hystricidae,Hystrix,LC,Indian Crested Porcupine,Browser,Browser,Hindgut,small herbivore,HerbiTRAITS,s1BrowserHindgut,1,12.4358,,,,,,,,,,small herbivore,Hystrix indica,1,0,0,0,Browser,Hindgut,9.32685,,
Hystrix_javanica,Rodentia,Hystricidae,Hystrix,LC,Sunda Porcupine,Browser,Browser,Hindgut,small herbivore,HerbiTRAITS,s1BrowserHindgut,4,23.0144,,,,,,,,,,small herbivore,Hystrix javanica,1,0,0,0,Browser,Hindgut,17.2608,,
Kobus_ellipsiprymnus,Cetartiodactyla,Bovidae,Kobus,LC,Waterbuck,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,8,210.0003,,,,,,,,,,large herbivore,Kobus ellipsiprymnus,0,1,0,0,Grazer,Foregut,157.500225,Water-dependent grazers,Water-dependent grazers
Kobus_kob,Cetartiodactyla,Bovidae,Kobus,LC,Kob,Grazer,Grazer,Foregut,medium herbivore,HerbiTRAITS,s2GrazerForegut,6,78.5001,,,,,,,,,,medium herbivore,Kobus kob,0,1,0,0,Grazer,Foregut,58.875075,Water-dependent grazers,Water-dependent grazers
Kobus_leche,Cetartiodactyla,Bovidae,Kobus,LC,Southern Lechwe,Grazer,Grazer,Foregut,large herbivore,HerbiTRAITS,s3GrazerForegut,7,110.749,,,,,,,,,,large herbivore,Kobus leche,0,1,0,0,Grazer,Foregut,83.06175,Water-dependent grazers,Water-dependent grazers
