x,y,term,method,mean_rel_imp,sd_rel_imp,clean_term,responseGroup,tier,tier_label,response,response_tier
24.0376757090297,0.614296502981508,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
26.1271590188365,0.627821734042508,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
28.2166423286432,0.65927806522222,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
30.3061256384499,0.667526943966225,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
32.3956089482566,0.682275266920707,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
34.4850922580634,0.734279316383645,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
36.5745755678701,0.74469857521884,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
38.6640588776768,0.745275438721928,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
40.7535421874835,0.748042965557623,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
42.8430254972903,0.757745862375353,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
44.932508807097,0.773606189267157,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
47.0219921169037,0.792374398116313,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
49.1114754267104,0.795632315131536,elevation_sd_1000,ensemble,12.1145958896797,1.58181418990736,Elevation SD (m),Environmental,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.155222672064777,0.543038036364479,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.310445344129555,0.543038036364479,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.465668016194332,0.543038036364479,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.62089068825911,0.541250631789999,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.776113360323887,0.541250786519703,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
0.931336032388664,0.541302675229255,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
1.08655870445344,0.54764613609813,fire_events_since_2001,ensemble,1.47373491825785,0.793891389268586,Fire frequency,Fire,main,Full model,canopy_height_sd_100,canopy_height_sd_100_main
