SiteID,max_species_body_mass,mean_species_body_mass,median_species_body_mass,CW_max_species_body_mass,CW_mean_species_body_mass,CW_median_species_body_mass,herbivore_fg_own,carnivore_fg_own,hempson_fg,trophic_groups,trophic_groups_hempson,carnivore_fg_own_simple,herbivore_fg_own_simple,total_biomass_ha,total_m_biomass_ha,m_herbi_biomass_ha,n_species_reserve,n_herbi_sp_reserve,elephant_biomass_ha,white_rhino_biomass_ha,white_rhino_yn,browser_biomass_ha,grazer_biomass_ha,mixed_feeder_biomass_ha,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,herbi_biomass_ha,prop_biomass_w_occasional_predator,prop_biomass_w_regular_predator,prop_species_w_occasional_predator,prop_species_w_regular_predator,herbi_fun_red,herbi_fun_div_distq1,herbi_fun_ent,predator_biomass_ha,farm_size_ha,reserve_name,year_to_wildlife
LIM66,899.9948,221.749575,173.00075,223.670034941216,31.3537973827619,3.85308051465206,8,1,3,3,4,1,2,499.003525605073,635.154260309648,634.168053766178,12,11,0,,,44.3530576678488,121.482515371725,331.853010507538,2.73898851081436,0.36607326594967,0.133652720522303,497.688583547112,1,0.924511799363908,1,0.909090909090909,0.238636363636364,2.40586637565532,8,1.31494205796052,143.73234079465,Delta breeders PTY LTD,2013
LIM67,899.9948,201.373276470588,97.5,296.523645714841,29.9352962709819,1.41655132790497,10,0,5,3,5,0,3,79.0977617598882,59.3233213199162,59.3233213199162,17,17,0,,,11.9048128424191,7.39814916844743,59.7947997490218,0.621441871146974,0.123725628307142,0.199094451229663,79.0977617598882,,,0,0,0.101960784313725,1.95171016199044,15,,2008.00384822702,Noord Transvaal Motors Pty Ltd,2014
LIM68,899.9948,229.253514285714,173.00075,129.700185780114,24.0501571479472,8.93718747274219,7,1,5,4,6,1,3,49.7179121306557,52.3942995077151,52.3754876699915,14,13,0,,,8.36739778512003,8.78017752128612,32.5452543739514,1.04933191259296,0.269783650187525,0.257100395927989,49.6928296803576,1,0.829768018166651,1,0.846153846153846,0.205128205128205,2.46863261565268,9,0.0250824502981006,3723.71912990785,"Leliepan property investments and Leliepan Buffaloes (two separate enterprises, one for the farm and one for buffalo breeding)",
LIM69,4400,1670.73433333333,580.0027,1174.51570880635,799.847581414529,799.847581414529,3,1,2,3,3,1,3,21.7828220142649,16.3371165106987,16.3291417664726,3,2,5.81176773213575,,,0,0,21.7721890219635,,,0,21.7721890219635,0.73306461163492,,0.5,0,0,1.73024355931381,2,0.0106329923014256,9085.01551224186,Shambala Game Reserve PTY LTD,2001
LIM71,899.9948,189.13968125,135.50065,143.653647894535,17.8175635094911,3.06510768447795,8,0,5,3,5,0,3,225.394032910263,169.045524682697,169.045524682697,16,16,0,,,37.0820205494081,90.5078083842898,97.8042039765647,2.44074640602977,0.925397934898348,0.379145466572106,225.394032910263,,,0,0,0.116071428571429,3.27646183205563,14,,1125.72792910192,Bonwa Phala Game Lodge,
LIM72,4400,369.870753571429,131.74955,540.42202647499,37.097594490613,2.14797347350162,13,1,5,5,6,1,4,52.558942154442,39.4192066158315,39.0697983469716,28,25,6.39823624140593,,,9.5099144579962,16.2051846564401,26.3779653481924,1.70403053865688,0.614345513102685,0.360524943166167,52.0930644626288,0.877176812164775,0.745491626130227,0.96,0.88,0.189473684210526,3.81961978927174,19,0.465877691813272,12378.4113327139,Nyati wilderness PTY LTD,2018
LIM73,213.501,88.1364,58.0003,47.3160082503825,14.5887285203482,4.42749808165561,7,1,5,4,6,1,3,107.111415023814,80.3335612678603,78.8227230196312,11,10,0,,,30.9843071859576,46.4282462566705,27.6844105835468,1.49844390510407,1.67705381035865,1.11919692465376,105.096964026175,1,1,1,1,0.15,2.80605320598604,8,2.01445099763882,156.369899475945,Tsala safaris,2016
LIM74,169.0013,169.0013,169.0013,169.0013,169.0013,169.0013,1,0,1,1,1,0,1,0.0236103548777498,0.0177077661583123,0.0177077661583123,1,1,0,,,0,0,0.0236103548777498,,,0,0.0236103548777498,,,0,0,0,1,1,,7157.93137693434,Net betyds boerdery,1987
LIM75,899.9948,185.785029166667,131.74955,126.143141329064,18.304037077428,2.01403003454331,11,1,5,4,6,1,3,95.1834141023652,71.3875605767739,70.9100141702257,24,22,0,,,17.5263864238228,33.2971999230108,43.7230992134673,1.89983257916483,0.761547111755401,0.40084959069929,94.5466855603009,1,0.892007501286296,1,0.954545454545455,0.18716577540107,2.75373641082025,17,0.636728542064315,705.163928327006,Budapest game farm,2015
LIM76,899.9948,202.005973333333,169.0013,51.382040817119,15.1062846680919,7.24721977075842,8,0,5,3,5,0,3,104.810300993862,78.6077257453965,78.6077257453965,15,15,0,,,16.6948311250268,43.0666971138257,45.0487727550095,2.57964257268021,0.956001561863562,0.370594582361188,104.810300993862,,,0,0,0.166666666666667,2.97476792425709,12,,752.029170344773,Enviro Game Breeders,2014
LIM77,2949.9863,1518.29335,1518.29335,2893.36090444715,1447.51160555894,1447.51160555894,2,0,2,2,2,0,2,18120.2193229105,13590.1644921829,13590.1644921829,2,2,0,17772.3992036563,yes,0,17772.3992036563,347.820119254185,,51.0965243809498,0,18120.2193229105,,,0,0,0,1.09953788797311,2,,9.95921687172018,Thaba Manzi Wildlife Services,
LIM8,899.9948,275.968553846154,210.0003,185.976672480925,27.1309138000646,7.98281166082979,6,0,4,3,4,0,3,135.636559805964,101.727419854473,101.727419854473,13,13,0,,,19.5486190842206,31.8852179452549,84.2027227764886,1.63107265059925,0.378672053514141,0.23216136532914,135.636559805964,,,0,0,0.161538461538462,2.61057968788694,10,,1200.23780190893,Babirwa Game Ranch,2014
LIM80,899.9948,211.478405263158,171.0015,176.761893238794,15.6316406714074,4.38995844794294,9,0,5,3,5,0,3,108.410936952857,81.3082027146429,81.3082027146429,19,19,0,,,4.14289867838846,33.7640620088638,70.5039762656049,8.14986429308419,0.478895855202077,0.0587612060741254,108.410936952857,,,0,0,0.242914979757085,2.69965094679818,13,,6144.21398543632,Dries Visser,1983
