WDPA_PID,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean
555570191,2.28009062378313,1.28276347610431,3.82883316609745,2.50728409694051
555570192,7.1648881569004,5.38103748411733,16.7851660685736,14.5596332768843
555570193,2.46372615324431,1.83133500276649,5.75724980017877,4.87656729221344
555570194,4.236857290444,4.14963893923831,7.80915817882841,8.25251514033757
555570195,1.94389552232385,1.12422774056379,7.85310311661721,6.55856493691241
555570196,11.4955638420723,15.0695387678528,23.8203632287318,44.8513048933365
555570197,1.46424262119042,1.10167503769653,4.7412976191554,4.96877665145682
555570198,0.877704374823798,0.558260309191569,2.00856248018979,1.51766497836747
555570200,1.46788783488089,0.892974149163223,3.46704606466719,2.432975887759
555570202,0.77306651333151,0.407906550098304,1.7995664913865,1.06051468133087
555570203,11.0347855610507,7.56437545376165,25.4927598885128,22.2821293950081
555570204,2.08655893517181,1.12171160582479,8.48720431868332,5.02067124642219
555570206,2.32331627342188,1.19899214187046,7.45887770389859,4.85479784274137
555570207,0.338323374942879,0.159973071989508,1.06693654629789,0.53444141690211
555570208,0.806945588331485,0.429258767721962,1.80528846903158,1.10048760478272
555570210,1.32175202901029,0.81901262052657,2.2622744472121,1.63224234860091
555570211,2.62837234990957,2.00732081803687,11.0449247771799,10.7455089123398
555570212,2.81722586359807,1.62742719827848,7.04395093985811,4.95736688396777
555570213,2.27548568504661,1.41809150161961,6.33195598302973,5.00310309036539
555570214,6.13979256908609,4.74500346915052,14.8795278275481,14.3143529386207
555570215,2.19919306248315,2.46713270467199,5.95379656315832,8.83076952924175
555570216,4.41674342384165,3.98675858319392,7.27636856217101,7.80484933542954
555570217,0.819970172196314,0.375017208520333,2.74348022468154,1.45356843184864
555570218,3.0636704782546,2.08559298072874,11.6216904307224,8.6255113664579
555570219,1.15229048000288,0.852419659182534,2.52750868206181,2.07175892512826
555570220,0.235185935941838,0.0954136032085158,0.62324817441878,0.275207427971355
555570221,1.71043651795609,1.25334077454455,5.33745056331194,4.70770914875891
555570223,0.84278369187361,0.388335973284652,2.62432360001114,1.56296407174512
555570224,0.045861701185918,0.0192532057196076,0.147133510655116,0.0728921592081369
555570225,1.65611610523095,0.954707139307868,3.5725346091238,2.33571814184447
555570226,1.07853634534586,0.835664645802788,3.96111991803572,3.56052739995764
555570227,1.40905732724594,1.01993699380283,2.86527045656655,2.38967518518874
555570228,2.38263489544376,2.39907936146402,11.0337498942276,13.6237353042658
555570229,2.44351534432231,1.79458223128886,8.7760641399772,8.42085854216437
555570230,1.87065091470664,1.19993601542854,5.85462461593926,4.58434292671192
555570231,0.785048536988932,0.313618720820722,2.58115322596741,1.13265157622674
555570232,0.0410799987052394,0.0148970384365394,0.118930787756406,0.0443031956689066
555570233,0.921467341664509,0.372798776214055,3.03277832592328,1.35137779722028
555570234,0.519340840482536,0.272043545418364,1.74227803579849,1.16272781743857
555570235,1.47350870494156,0.878292600883471,5.15705927202959,3.75203947858619
555570236,1.00149199009776,0.573275103326455,2.9743705554142,2.10711802449212
555570237,0.830058570394138,0.366316968458437,2.80131001477966,1.53292495277473
555570238,7.4755730395272,5.85243059397837,19.7418266820871,19.7931693000546
555570239,0.0742928317564279,0.0206604697704788,0.344197046734256,0.101876199313983
555570240,4.72139069178832,4.02737532438899,11.4916953689004,11.7240453353605
555570242,4.28894753026226,3.1604431150446,14.8213937322255,14.5365224265449
555570243,0,0,0,0
555570244,4.07946919135624,3.0713778505005,13.3496063398803,12.5545137683446
555570245,0.938626604380056,0.570938362918508,2.98799702590345,2.18706913469075
555570246,2.65217894386562,2.57079885338429,5.66650395882363,6.40400343727815
555570247,4.52838801874228,3.87976433714715,11.0246290634264,11.8707426553952
555570248,1.4995555443489,0.791007672770852,5.05722757908625,3.17222357366077
555570249,2.22380436643385,1.03593783202255,7.78831051610305,4.77826646251577
555570250,0.231106827313168,0.0540202013447255,0.684532321516891,0.17823365573586
555570251,0.165009171150422,0.0508486624712157,0.369898421522586,0.13232486921796
555570252,1.51008331276587,1.0316880412441,4.00752259854741,2.83628380034363
555570253,14.7250849277365,27.0746332970174,19.6403150511723,64.1221623771331
555570254,2.06463855415615,1.7004494098322,7.15801011352292,7.40608832936112
555570255,0.540007814059995,0.240424459072488,1.37642449041237,0.72495144811015
555570256,0.181651835254689,0.102359977782469,0.341029492952466,0.206525511529691
555570257,6.50224011101137,6.26538643391447,15.4896883788771,17.7194496220487
555570258,0.455873313977987,0.288481730811526,0.836946676720575,0.584536249294187
555570259,3.05089802306058,3.38514567745576,7.37723941842895,10.1017150914223
555570260,3.05215693793764,3.45700730538221,6.90520644220371,9.70961473922633
555570262,2.41614124773401,1.71097668788543,6.07691616263085,5.22340223935978
555570264,0.324385177584681,0.130004652139761,1.26130610342107,0.6534357088891
555570265,1.80415320116509,0.815493540791882,5.9394575523714,3.49909333294727
555570266,1.32062838304912,0.665102526383429,3.86253358996013,2.2998970595439
555570267,3.35437701985976,1.95842877760379,6.07822884308381,3.86270606064747
555570268,2.09836092065692,0.977156190783988,4.83613919985154,2.63176926015568
555570269,0.552521215350678,0.251052005122465,2.25258814739387,1.16047462785598
555570270,0.229491450366843,0.0625271326655322,0.788074227083364,0.237457123328481
555570271,3.03760934488174,1.60899775662341,7.69464197316649,5.04477196532814
555570272,1.14125238562839,0.644532561587388,1.81415225961214,1.11498299104911
555570273,1.40526611187246,0.818408437718016,3.81280428077649,2.46622022031327
555570274,0.55115789461535,0.272131026951716,1.3274164569654,0.700600616942552
555570275,1.26285404901132,0.750295129479535,3.47335023430649,2.50369208721684
555570276,4.09938793349193,3.16671369803056,12.1211558895193,10.7315657140277
555570277,1.84152369712379,0.995685554081377,4.94478741876552,2.85499250886891
555570278,5.12532337611976,4.0507776488694,13.9926953528358,13.3759646004494
555570279,0.655464247527227,0.395717104075647,2.3245121237988,1.90406641807488
555570280,2.19871305328115,1.0896163537028,4.51890387349522,2.5994355169656
555570281,1.54785285137428,1.09350906226494,3.03535473712546,2.55864489488857
555570282,1.26142165980909,0.752038087448847,3.39605157270687,2.34732368904936
555570283,1.21516937567868,0.787196233239753,2.38340629055462,1.75195541836414
555570285,1.21193678420434,0.705442055374705,3.61584010469707,2.56391456101143
555570286,2.69579528004141,1.69769204355303,6.85038054179222,5.23880185725292
555570287,1.25216416978857,0.472958713156436,3.98692605131419,1.88773247314662
555570288,0.456805996542773,0.178293784794787,2.05112226611973,0.970125547292622
555570289,0.580932164411205,0.285658099860105,2.49128216890262,1.4564426921501
555570290,2.36149367059202,1.70126022683884,6.1632819570195,5.88691609637709
555570291,0.215196562740444,0.0937104989004597,0.587382127146746,0.303042506151412
555570292,2.64579065844898,2.3355875515124,10.7453877454477,11.5503205346732
555570293,3.9485232275994,2.50526468319866,11.3527055658502,8.5359531842308
555570296,0.697695880939443,0.369553317355351,2.6358636826762,1.62335068170513
555570297,0.424818419918655,0.141161281150968,1.30389163003343,0.51991942513984
555570298,0.55041131300892,0.35444935894735,1.43945683562802,1.04762480144121
555570301,10.3207823106419,10.9781666084241,21.223187668119,30.4783393305438
555570303,0.432866045244747,0.144018092725626,1.83482327118055,0.74148441542501
555570304,5.66131171206422,3.93235803848154,15.2757244755824,12.6220941143511
555570305,0.609240873670145,0.349932846864995,2.26714601798332,1.80329047042336
555570306,0.99127030992959,0.51952429058111,3.93614314488338,2.5909322426523
555570307,1.32013028756665,0.750437823284238,3.54467358565319,2.37507786788396
555570308,3.47763234328411,1.53368033001156,9.2666593623483,5.31025405532641
555570309,0.553483532405064,0.330374268056749,1.6100922448096,1.11330565090151
555570310,1.18631145750385,0.53413010550336,4.83740397592805,2.73688634231619
555570311,0.824243970201094,0.327129772200868,2.2679909124766,1.11996098882247
555570312,1.23185373574048,0.737529750337636,2.89162497110014,1.7775569885342
555570313,2.35557842480207,1.37262583816558,6.33727373151897,4.34093503621251
555570315,0.579981292171247,0.257380450023724,1.45447388584352,0.791741107009838
555570316,1.17508197917395,0.862257782495849,2.20327763885299,1.83483754164377
555570317,0.848672778737754,0.423718074211027,2.61787153882341,1.64693176670766
555570318,0.351422110899469,0.126813875098823,1.51217976413172,0.66441090492036
555570319,4.71459800411574,4.03439017784865,11.8319527883548,11.3868846394986
555570320,1.40559919008081,0.591378483748262,4.93839665768124,2.59438045983276
555570321,0.433372460128486,0.20056501267047,0.798555592927606,0.44751947184494
555570322,1.83643489076219,1.06358187757703,8.8739170322731,5.90690888624855
555570323,1.20700390685267,1.049467513761,3.35317883894331,3.51471582362253
555570324,0.550531897273597,0.239777610584636,1.09288843138454,0.519126477821106
555570325,8.92298175877031,8.07887965262911,21.2701981629506,25.2770175280832
555570326,12.2507025691085,22.7131587357713,20.4222595357204,54.8082127507186
555570327,6.58645353841282,7.92584601984809,13.459280871127,20.2050619134948
555570328,3.14850739004778,2.20863252351753,5.91817421490458,4.91263266949373
555570329,3.57040436778541,2.86092121827584,8.98234579866714,8.54311084344936
555570330,0.440455529792982,0.211953753880868,1.75970840269437,0.946281236072404
555570331,1.53125456522521,0.976387058328196,3.90684443551742,2.76728285939448
555570332,15.014929324496,13.0057841905131,18.395126573756,18.444113493786
555570333,0.777693122096263,1.05248885931427,1.46887717921492,1.71827381379154
555570334,1.75957559353644,0.950353651898155,5.53219567635726,3.27505690634515
555570336,0.304578047728184,0.0843100688189481,1.11538168998018,0.357349638797011
555570338,10.5498973460915,16.2007253748339,22.9551504363192,46.9818492425559
555570340,14.9770768025897,40.0027047958056,16.3875109362953,70.1405936948232
555570341,1.62419593877272,1.11292647100154,4.46042692680784,3.51106933342152
555570342,6.02823871888942,6.36150536095281,18.6035425334711,25.4411380046989
555570343,0.722972979079176,0.4363361297603,1.95029502664174,1.27700092961702
555570344,11.8147961107019,39.6995276590052,12.5855799989349,83.4213358192139
555570346,13.9363659250023,21.1656917035433,24.3021885681901,59.1198924526031
555570347,4.23279950339323,6.46820626852748,17.2498243027569,31.19042240483
555570348,4.66344432032901,5.96983768324288,11.9656536329362,20.854105261467
555570349,0.417242005796129,0.209973928895248,1.92044308159591,1.04254526497264
555570351,0.333398191540347,0.195772449476334,0.576728731653731,0.365532588037701
555570353,1.18779253245446,0.558883010881679,5.52619821030362,3.6870977934023
555570355,8.93272523728472,9.73384336497384,21.8671602005635,32.6792089659916
555570361,0.210902589425185,0.125471830502097,1.1602583539646,0.829263904185882
555570364,9.72690225925207,16.1738049479131,18.6436193862348,46.4417775994665
555570365,0.0360390863975128,0.00869234792209305,0.148559459781053,0.0382314370730807
555570367,2.25578394704034,1.7045249056144,6.34465558788695,5.24670525426983
555570368,3.36590430728409,3.0680924268185,14.6396003382905,17.3231242634001
555570370,2.98264972754095,4.07372315382986,7.84561029813688,14.5184973647476
555570371,4.99649065668024,4.7729527031948,15.9092297682559,21.3455842627833
555570372,10.8168923948303,10.4031103173958,18.1842301406614,20.6913005440013
555570373,0.20734956853053,0.0555025638688145,0.741239921787037,0.22198504685253
