NAME,WDPA_PID,DESIG_ENG,GIS_AREA,MAP,MAT,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,spatial_predictor1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5
Saanane Island National Park,555623797,National Park,2.22639165578463,925.7,23.2500000000001,0,679.6591796875,0,-0.0672128039422565,-0.000380125676084892,-0.00135365466002545,-0.00394953060198556,0.00882346187276387,0.000678952351245454
Lomami National Park,555625665,National Park,8934.89442982,1817.1116729269,24.2844120196497,1.91577208918249,630.996765136719,0.0338769686966738,-0.477693620434864,-0.000572911293412997,-0.0010448021372271,-0.002373746764986,0.00541089882271235,0.00042383170376657
Réserve du triangle de la Ngiri,555626064,Nature reserve,5270.33534132,1738.39116446187,25.5495427078224,2.81825525040388,930.948303222656,0.0587537373641498,0.42819867913353,-0.00168581205926375,-0.00198958127614572,-0.0030293295883951,0.00438871794200312,0.000983487195719967
Lusaka,555626087,National Park,69.0817370067,943.645569620253,19.696835443038,4.90588235294118,291.657623291016,0.891608391608392,0.0936266585175088,0.0059033683452916,0.00469311885542904,0.0032925455851585,-0.00286232319656612,-0.0243111511202278
Lomati,555626094,Nature Reserve,6.63401313881,891.933333333334,18.7055555555556,2.66666666666667,473.865539550781,0.580645161290323,0.177227821372631,0.0172925402634862,0.0182782745291299,0.0191131209663852,-0.0195982376491771,-0.018911185788151
Lubuyane,555643514,Nature Reserve,4.36048616031,1203.74285714286,16.7785714285715,1.8125,471.127746582031,0.842105263157895,0.137515188750215,0.0164805368854023,0.0177832500830986,0.0189343827435825,-0.0194682523600165,-0.0186717973694615
Mwingi,555646867,National Reserve,635.767050970169,679.634770889488,26.2991913746631,1.02884615384615,279.415557861328,0.0406885758998435,0.0934023674194084,-0.00132795355379648,-0.00250433324029977,-0.00493027682898616,0.00968151915933534,0.00154014071210435
Tsavo Road and Railways,555646868,National Reserve,23.3700244091897,669.722222222222,24.8462962962963,0,268.463638305664,0,-0.30669299109673,-0.000577007038203413,-0.00177855212362667,-0.00406369698416206,0.00851614003943387,0.000820801159174373
N'Zi River Lodge Voluntary Nature Reserve,555682982,Voluntary Nature Reserve,241.902860523097,1020.72178571429,26.7289285714286,8.79604578563996,661.43505859375,0.986652977412731,-0.149390827076905,-0.00465879325982865,-0.00465077207908437,-0.00638336194006434,0.0109970520206627,-0.00174694025080484
Salonga,555697863,National Park,33592.750558,1872.1420233463,24.5657689944706,1.00671140939597,634.104064941406,0.0011081609733967,-0.176912406115864,-0.000833518047515187,-0.00115967938547753,-0.00216891392411387,0.00336435520722569,0.000602376684463873
N'Sele,555697864,Nature reserve,34.676245605,1443.53170731707,25.6353658536586,0,513.086608886719,0,-0.178230039070872,-0.00166947653890764,-0.00190422045105251,-0.00264837666599666,0.00376023273901027,0.000989487930975063
