NAME,WDPAID,WDPA_PID,PA_DEF,ORIG_NAME,DESIG_ENG,DESIG_TYPE,GIS_AREA,STATUS,VERIF,MAP,MAT,elevation_mean,Biome,fire_events_since_2001,n_deposition,prop_burned_area,woody_trend_venter2019,canopy_height_sd100,canopy_height_mean,tree_cover_sd100,tree_cover_mean,tree_cover_mean_scaled,sp1,spatial_predictor2,spatial_predictor3,spatial_predictor4,spatial_predictor5,spatial_predictor1
Hans Merensky Nature Reserve,4764,4764,1,Hans Merensky Nature Reserve,Nature Reserve,National,10.37014828145,Designated,State Verified,541.623076923077,22.0807692307693,464.990042674253,Savanna,1.15555555555556,325.153472900391,1,0.914855404894465,8.97316564981304,8.93376282100121,24.4897875737792,34.3155124345786,0.442357759871174,0.0198575538062554,0.0200148313874634,0.0203244321517144,0.019880074810825,0.0188006647932113,0.0198575538062554
Kgaswane Mountain Nature Reserve,4765,4765,1,Kgaswane Mountain Nature Reserve,Nature Reserve,National,43.8618174069302,Designated,State Verified,667.998275862069,17.1672413793104,1483.93435846561,Savanna,2.64921465968586,1149.50793457031,0.575916230366492,0.0181324789170418,5.76397928945363,6.0721048115586,14.6832755865685,18.2985581419561,-0.203160421459203,0.0195099288023962,0.0202559030758107,0.0200301114888905,0.0197331926863242,0.018633827788214,0.0195099288023962
Happy Rest Nature Reserve,4766,4766,1,Happy Rest Nature Reserve,Nature Reserve,National,22.4742809542063,Designated,State Verified,553.662068965517,18.098275862069,1219.65855263158,Savanna,0,299.438110351563,0,0.313942665707814,13.7825838702337,29.4519365941948,18.9925152823676,71.8515899968981,1.95514352922715,0.0198342996462885,0.0193826226302856,0.0199658670542917,0.0203905036979059,0.0212078177065078,0.0198342996462885
Langjan Nature Reserve,4767,4767,1,Langjan Nature Reserve,Nature Reserve,National,47.7127309456869,Designated,State Verified,385.576271186441,22.1364406779661,784.928215509187,Savanna,0.004739336492891,230.720886230469,0,0.596766456229314,2.82260268576899,1.83812035740847,7.30313419815768,6.07701559719309,-0.695715233842045,0.0192996685755986,0.0191367198879313,0.0193128938286182,0.0204136145805678,0.0217948846822502,0.0192996685755986
Entumeni Nature Reserve,4934,4934,1,Entumeni Nature Reserve,Nature Reserve,National,5.63855746599554,Designated,State Verified,1172.94285714286,18.9642857142858,614.919698870765,Forests,0.0714285714285714,398.771179199219,0.0357142857142857,-0.140541347444425,35.946248328227,101.631698245904,10.3872993420105,83.5538500744596,2.42677012593924,0.00827832486603491,0.00803731066082265,0.00741355075604119,0.00690259847021086,0.00675309204282428,0.00827832486603491
Karkloof Nature Reserve,4936,4936,1,Karkloof Nature Reserve,Nature Reserve,National,35.2367318937452,Designated,State Verified,896.922,13.772,1535.81035171863,Grassland,3.07453416149068,624.001708984375,0.509316770186335,0.223598882961366,10.2805112340641,31.1319644785155,5.81137644025547,23.8597559853758,0.020967977256164,0.00775261777055312,0.00748935406085761,0.00694066196077904,0.00652095771172388,0.00628250572375551,0.00775261777055312
Bluff Nature Reserve,4938,4938,1,Bluff Nature Reserve,Nature Reserve,National,0.459016696586557,Designated,State Verified,916.275,21.15,54.5789473684211,Forests,0,624.001708984375,0,0.224308311041116,21.1460830884821,80.9680838304408,13.582224494175,88.4479780758129,2.62401415554147,0.00566899274252077,0.00553048483163966,0.00494192575937876,0.00473433635221027,0.00471299186448561,0.00566899274252077
Kenneth Stainbank Nature Reserve,4940,4940,1,Kenneth Stainbank Nature Reserve,Nature Reserve,National,2.1289130836345,Designated,State Verified,936.45,20.8,112.28,Forests,0,624.001708984375,0,0.338944153679855,27.6530320483811,52.6793769089543,25.4553981678261,72.3861411357413,1.97668710565685,0.00576311317891885,0.00559458353871344,0.00500090950414916,0.00478609216515103,0.00483574723656266,0.00576311317891885
Moor Park Nature Reserve,4942,4942,1,Moor Park Nature Reserve,Nature Reserve,National,2.60818968800179,Designated,State Verified,844.25,15.725,1294.35215053763,Grassland,0.714285714285714,723.132507324219,0,1.08372791244324,12.1554914876228,14.718392302522,25.5386059537879,40.7425256522741,0.701380405992106,0.00816826445276893,0.00798882624024097,0.0074676465375085,0.00707356987475232,0.00732871198476182,0.00816826445276893
Harold Johnson Nature Reserve,4943,4943,1,Harold Johnson Nature Reserve,Nature Reserve,National,1.0286349829604,Designated,State Verified,1001.1,21.55,65.1224489795918,Indian Ocean Coastal Belt,0,327.43310546875,0,0.835789155692045,22.0171471483567,63.5209776373471,16.1203849077781,86.2879245982451,2.53695929061886,0.00741242043379412,0.00713549609566312,0.00669654336020764,0.00622525931893177,0.00582853513488294,0.00741242043379412
